platform,plugin,task,run,dry_run,prepare_only,failed,timed_out,duration_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_tokens,provider_estimated_cost_usd,input_cost_usd,output_cost_usd,calculated_cost_usd,saved_vs_baseline,saved_percent,saved_cost_vs_baseline,saved_cost_percent
claude-code,baseline,core-api-read-write-ledger,1,false,false,false,false,600021,348823,6153,266662,0,621638,2.0312710000000003,1.74411500,0.15382500,1.89794000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,core-api-read-write-ledger,1,false,false,false,false,223167,59756,4614,47167,0,111537,0.4377135,0.29878000,0.11535000,0.41413000,510101,82.06,1.48381000,78.18
claude-code,context-mode,core-api-read-write-ledger,1,false,false,false,false,733815,596983,7429,507568,0,1111980,3.424424,2.98491500,0.18572500,3.17064000,-490342,-78.88,-1.27270000,-67.06
claude-code,rtk,core-api-read-write-ledger,1,false,false,false,false,513841,437458,4402,353424,0,795284,2.474052,2.18729000,0.11005000,2.29734000,-173646,-27.93,-0.39940000,-21.04
claude-code,caveman,core-api-read-write-ledger,1,false,false,false,false,618474,515131,6102,429645,0,950878,2.9430275,2.57565500,0.15255000,2.72820500,-329240,-52.96,-0.83026500,-43.75
claude-code,baseline,react-state-bug-fix,1,false,false,false,false,45843,21112,849,17401,0,39362,0.1354855,0.10556000,0.02122500,0.12678500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,react-state-bug-fix,1,false,false,false,false,55538,30982,1030,26344,0,58356,0.193832,0.15491000,0.02575000,0.18066000,-18994,-48.25,-0.05387500,-42.49
claude-code,context-mode,react-state-bug-fix,1,false,false,false,false,71285,51651,909,45568,0,98128,0.30376400000000003,0.25825500,0.02272500,0.28098000,-58766,-149.30,-0.15419500,-121.62
claude-code,rtk,react-state-bug-fix,1,false,false,false,false,50887,22953,939,19151,0,43043,0.1478155,0.11476500,0.02347500,0.13824000,-3681,-9.35,-0.01145500,-9.03
claude-code,caveman,react-state-bug-fix,1,false,false,false,false,52754,32029,936,27330,0,60295,0.19721,0.16014500,0.02340000,0.18354500,-20933,-53.18,-0.05676000,-44.77
claude-code,baseline,next-api-route-fix,1,false,false,false,false,75480,36664,1505,31460,0,69629,0.23667499999999997,0.18332000,0.03762500,0.22094500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,next-api-route-fix,1,false,false,false,false,85970,41054,1723,35223,0,78000,0.26595650000000004,0.20527000,0.04307500,0.24834500,-8371,-12.02,-0.02740000,-12.40
claude-code,context-mode,next-api-route-fix,1,false,false,false,false,430562,432638,8698,417897,0,859233,2.5895885000000005,2.16319000,0.21745000,2.38064000,-789604,-1134.02,-2.15969500,-977.48
claude-code,rtk,next-api-route-fix,1,false,false,false,false,69463,38836,1314,33941,0,74091,0.24400049999999998,0.19418000,0.03285000,0.22703000,-4462,-6.41,-0.00608500,-2.75
claude-code,caveman,next-api-route-fix,1,false,false,false,false,45490,25464,745,20775,0,46984,0.15633249999999999,0.12732000,0.01862500,0.14594500,22645,32.52,0.07500000,33.95
claude-code,baseline,cli-flag-parsing-fix,1,false,false,false,false,113164,44849,2433,39372,0,86654,0.304756,0.22424500,0.06082500,0.28507000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,cli-flag-parsing-fix,1,false,false,false,false,574243,687066,12649,672526,0,1372241,4.087818,3.43533000,0.31622500,3.75155500,-1285587,-1483.59,-3.46648500,-1216.01
claude-code,context-mode,cli-flag-parsing-fix,1,false,false,false,false,240753,154922,4690,145810,0,305422,0.9647650000000001,0.77461000,0.11725000,0.89186000,-218768,-252.46,-0.60679000,-212.86
