platform,plugin,task,run,dry_run,prepare_only,failed,timed_out,metrics_included,duration_ms,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_tokens,provider_estimated_cost_usd,input_cost_usd,output_cost_usd,calculated_cost_usd,saved_vs_baseline,saved_percent,saved_cost_vs_baseline,saved_cost_percent
claude-code,tokenwarden,routing-read-write-ledger,2,false,false,false,false,true,222844,168455,3977,145649,0,318081,1.0145244999999998,0.84227500,0.09942500,0.94170000,71356,18.32,0.25326000,21.19
claude-code,context-mode,routing-read-write-ledger,2,false,false,true,false,true,408852,332166,5250,277793,0,615209,1.9309765,1.66083000,0.13125000,1.79208000,-225772,-57.97,-0.59712000,-49.97
claude-code,rtk,routing-read-write-ledger,2,false,false,true,false,false,17,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,,,,
claude-code,caveman,routing-read-write-ledger,2,false,false,false,false,true,302553,222685,3669,172905,0,399259,1.2916025,1.11342500,0.09172500,1.20515000,-9822,-2.52,-0.01019000,-0.85
claude-code,baseline,helper-read-write-ledger,2,false,false,false,false,true,335382,154091,5663,119491,0,279245,0.9717754999999999,0.77045500,0.14157500,0.91203000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,helper-read-write-ledger,2,false,false,false,false,true,225022,128260,4152,106912,0,239324,0.798556,0.64130000,0.10380000,0.74510000,39921,14.30,0.16693000,18.30
claude-code,context-mode,helper-read-write-ledger,2,false,false,false,false,true,222564,114337,3528,84191,0,202056,0.7019805,0.57168500,0.08820000,0.65988500,77189,27.64,0.25214500,27.65
claude-code,rtk,helper-read-write-ledger,2,false,false,true,false,false,14,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,,,,
claude-code,caveman,helper-read-write-ledger,2,false,false,false,false,true,299268,128228,4663,91052,0,223943,0.803241,0.64114000,0.11657500,0.75771500,55302,19.80,0.15431500,16.92
claude-code,baseline,core-api-read-write-ledger,2,false,false,false,false,true,511267,332593,4748,248519,0,585860,1.9059245,1.66296500,0.11870000,1.78166500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,core-api-read-write-ledger,2,false,false,false,false,true,225653,45047,4676,29892,0,79615,0.357081,0.22523500,0.11690000,0.34213500,506245,86.41,1.43953000,80.80
claude-code,context-mode,core-api-read-write-ledger,2,false,false,false,false,true,539104,108482,1055,104426,0,213963,1.2233040000000002,0.54241000,0.02637500,0.56878500,371897,63.48,1.21288000,68.08
claude-code,rtk,core-api-read-write-ledger,2,false,false,true,false,false,14,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,,,,
claude-code,caveman,core-api-read-write-ledger,2,false,false,true,false,true,599348,206796,6652,122910,0,336358,1.2617350000000003,1.03398000,0.16630000,1.20028000,249502,42.59,0.58138500,32.63
claude-code,baseline,react-state-bug-fix,2,false,false,false,false,true,35687,20243,691,16679,0,37613,0.12682949999999998,0.10121500,0.01727500,0.11849000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,react-state-bug-fix,2,false,false,false,false,true,92354,54532,2018,49140,0,105690,0.34768,0.27266000,0.05045000,0.32311000,-68077,-180.99,-0.20462000,-172.69
claude-code,context-mode,react-state-bug-fix,2,false,false,false,false,true,42909,50674,698,45056,0,96428,0.29334800000000005,0.25337000,0.01745000,0.27082000,-58815,-156.37,-0.15233000,-128.56
claude-code,rtk,react-state-bug-fix,2,false,false,true,false,false,16,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,,,,
claude-code,caveman,react-state-bug-fix,2,false,false,false,false,true,43245,38396,800,33655,0,72851,0.2288075,0.19198000,0.02000000,0.21198000,-35238,-93.69,-0.09349000,-78.90
claude-code,baseline,next-api-route-fix,2,false,false,false,false,true,49208,21143,1045,17452,0,39640,0.14056600000000002,0.10571500,0.02612500,0.13184000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,next-api-route-fix,2,false,false,false,false,true,70924,38959,1485,33761,0,74205,0.24880049999999998,0.19479500,0.03712500,0.23192000,-34565,-87.20,-0.10008000,-75.91
claude-code,context-mode,next-api-route-fix,2,false,false,false,false,true,50284,51104,860,45056,0,97020,0.29954800000000004,0.25552000,0.02150000,0.27702000,-57380,-144.75,-0.14518000,-110.12
claude-code,rtk,next-api-route-fix,2,false,false,true,false,false,14,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,,,,
claude-code,caveman,next-api-route-fix,2,false,false,false,false,true,59595,40044,1168,34380,0,75592,0.24661,0.20022000,0.02920000,0.22942000,-35952,-90.70,-0.09758000,-74.01
claude-code,baseline,cli-flag-parsing-fix,2,false,false,false,false,true,67373,34079,1449,29465,0,64993,0.22135249999999998,0.17039500,0.03622500,0.20662000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,cli-flag-parsing-fix,2,false,false,false,false,true,75204,44183,1611,39315,0,85109,0.2808475,0.22091500,0.04027500,0.26119000,-20116,-30.95,-0.05457000,-26.41
claude-code,context-mode,cli-flag-parsing-fix,2,false,false,false,false,true,82630,80077,1605,73077,0,154759,0.4770485,0.40038500,0.04012500,0.44051000,-89766,-138.12,-0.23389000,-113.20
claude-code,rtk,cli-flag-parsing-fix,2,false,false,true,false,false,15,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,,,,
claude-code,caveman,cli-flag-parsing-fix,2,false,false,false,false,true,109505,59294,2413,52806,0,114513,0.38319800000000004,0.29647000,0.06032500,0.35679500,-49520,-76.19,-0.15017500,-72.68
claude-code,baseline,large-test-log-debug,2,false,false,false,false,true,57515,36364,1002,28720,0,66086,0.22122999999999998,0.18182000,0.02505000,0.20687000,0,0.00,0.00000000,0.00
claude-code,tokenwarden,large-test-log-debug,2,false,false,false,false,true,41345,29579,771,25343,0,55693,0.1798415,0.14789500,0.01927500,0.16717000,10393,15.73,0.03970000,19.19
claude-code,context-mode,large-test-log-debug,2,false,false,false,false,true,46606,67069,731,60678,0,128478,0.383959,0.33534500,0.01827500,0.35362000,-62392,-94.41,-0.14675000,-70.94
claude-code,rtk,large-test-log-debug,2,false,false,true,false,false,15,0,0,0,0,0,0,0.00000000,0.00000000,0.00000000,,,,
claude-code,caveman,large-test-log-debug,2,false,false,false,false,true,34984,26845,422,19211,0,46478,0.1543805,0.13422500,0.01055000,0.14477500,19608,29.67,0.06209500,30.02
claude-code,baseline,typecheck-flood-debug,2,false,false,true,false,true,63367,49520,1405,46006,0,96931,0.305728,0.24760000,0.03512500,0.28272500,0,0.00,0.00000000,0.00
claude-code,tokenwarden,typecheck-flood-debug,2,false,false,true,false,true,52863,31083,1064,26529,0,58676,0.1952795,0.15541500,0.02660000,0.18201500,38255,39.47,0.10071000,35.62
