platform,task,plugin,runs,failed_runs,timeout_count,median_duration_ms,average_input_tokens,average_output_tokens,average_cache_read_tokens,average_cache_write_tokens,median_total_tokens,average_total_tokens,p25_total_tokens,p75_total_tokens,min_total_tokens,max_total_tokens,average_provider_estimated_cost_usd,average_input_cost_usd,average_output_cost_usd,median_calculated_cost_usd,average_calculated_cost_usd,p25_calculated_cost_usd,p75_calculated_cost_usd,min_calculated_cost_usd,max_calculated_cost_usd,median_saved_vs_baseline,average_saved_vs_baseline,median_saved_percent,average_saved_percent,median_saved_cost_vs_baseline,average_saved_cost_vs_baseline,median_saved_cost_percent,average_saved_cost_percent
claude-code,typecheck-flood-debug,rtk,3,3,0,47908,61445.67,1591.67,55989.67,0.00,57072.00,119027.00,54540.00,152536.50,52008.00,248001.00,0.37501483,0.30722833,0.03979167,0.17315000,0.34702000,0.16515250,0.44195250,0.15715500,0.71075500,-17766.00,-67836.33,-45.20,-112.92,-0.04496500,-0.18704500,-35.08,-99.77
claude-code,typecheck-flood-debug,caveman,3,3,0,37922,24331.67,622.33,20149.67,0.00,45131.00,45103.67,45080.00,45141.00,45029.00,45151.00,0.14729150,0.12165833,0.01555833,0.13725000,0.13721667,0.13683500,0.13761500,0.13642000,0.13798000,5871.00,6087.00,11.53,8.48,0.01990000,0.02275833,12.73,11.68
claude-code,build-failure-debug,baseline,3,0,0,44209,24275.67,818.00,21050.67,0.00,50129.00,46144.33,44014.00,50267.00,37899.00,50405.00,0.15235367,0.12137833,0.02045000,0.15291000,0.14182833,0.13566750,0.15353000,0.11842500,0.15415000,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,build-failure-debug,tokenwarden,3,0,0,45606,22811.33,834.33,19068.67,0.00,43076.00,42714.33,42218.00,43391.50,41360.00,43707.00,0.14444933,0.11405667,0.02085833,0.13824000,0.13491500,0.13298500,0.13850750,0.12773000,0.13877500,6698.00,3430.00,13.29,6.08,0.01413500,0.00691333,9.24,3.90
claude-code,build-failure-debug,context-mode,3,0,0,65346,58797.33,716.33,53223.67,0.00,120641.00,112737.33,108391.50,121035.00,96142.00,121429.00,0.33850683,0.29398667,0.01790833,0.33192500,0.31189500,0.30030750,0.33349750,0.26869000,0.33507000,-71300.00,-66593.00,-142.23,-150.43,-0.18216000,-0.17006667,-119.13,-124.57
claude-code,build-failure-debug,rtk,3,0,0,46064,26514.67,880.67,22751.33,0.00,42426.00,50146.67,41611.50,54821.50,40797.00,67217.00,0.16596567,0.13257333,0.02201667,0.13470500,0.15459000,0.13062000,0.16861750,0.12653500,0.20253000,-2898.00,-4002.33,-7.65,-8.63,-0.00811000,-0.01276167,-6.85,-8.89
claude-code,build-failure-debug,caveman,3,0,0,34090,23959.33,524.00,19920.00,0.00,44385.00,44403.33,44372.00,44425.50,44359.00,44466.00,0.14285667,0.11979667,0.01310000,0.13292500,0.13289667,0.13218750,0.13362000,0.13145000,0.13431500,5663.00,1741.00,11.30,2.06,0.01998500,0.00893167,13.07,4.79
claude-code,multi-file-rename-migration,baseline,3,0,0,60458,26764.00,1315.67,23110.00,0.00,51226.00,51189.67,50672.00,51725.50,50118.00,52225.00,0.17826667,0.13382000,0.03289167,0.16562000,0.16671167,0.16244500,0.17043250,0.15927000,0.17524500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,multi-file-rename-migration,tokenwarden,3,0,0,63578,29703.67,1328.00,25500.00,0.00,56269.00,56531.67,56214.00,56718.00,56159.00,57167.00,0.19446833,0.14851833,0.03320000,0.18251000,0.18171833,0.18121000,0.18262250,0.17991000,0.18273500,-5043.00,-5342.00,-9.84,-10.48,-0.01429000,-0.01500667,-8.63,-9.16
claude-code,multi-file-rename-migration,context-mode,3,0,0,73872,69538.00,1320.33,63784.67,0.00,125770.00,134643.00,125635.00,139214.50,125500.00,152659.00,0.41259067,0.34769000,0.03300833,0.35750000,0.38069833,0.35628500,0.39351250,0.35507000,0.42952500,-75652.00,-83453.33,-150.95,-163.09,-0.19823000,-0.21398667,-124.46,-128.81
claude-code,multi-file-rename-migration,rtk,3,0,0,62057,35065.33,1217.00,31217.33,0.00,67922.00,67499.67,66953.00,68257.50,65984.00,68593.00,0.22136033,0.17532667,0.03042500,0.20660000,0.20575167,0.20166000,0.21026750,0.19672000,0.21393500,-16368.00,-16310.00,-31.34,-31.89,-0.03869000,-0.03904000,-22.08,-23.52
claude-code,multi-file-rename-migration,caveman,3,0,0,59604,31816.67,1145.00,27226.33,0.00,60427.00,60188.00,59936.00,60559.50,59445.00,60692.00,0.20132150,0.15908333,0.02862500,0.18803000,0.18770833,0.18662250,0.18895500,0.18521500,0.18988000,-8219.00,-8998.33,-16.04,-17.62,-0.01959500,-0.02099667,-11.83,-12.78
claude-code,feature-add-small,baseline,3,0,0,43345,20485.33,812.33,17148.67,0.00,38619.00,38446.33,38227.50,38751.50,37836.00,38884.00,0.13130933,0.10242667,0.02030833,0.12392500,0.12273500,0.12209500,0.12397000,0.12026500,0.12401500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,feature-add-small,tokenwarden,3,0,0,45783,22829.33,814.00,18925.67,0.00,42780.00,42569.00,42381.50,42862.00,41983.00,42944.00,0.14395950,0.11414667,0.02035000,0.13632500,0.13449667,0.13308500,0.13682250,0.12984500,0.13732000,-4147.00,-4122.67,-10.77,-10.73,-0.01240000,-0.01176167,-10.01,-9.57
claude-code,feature-add-small,context-mode,3,0,0,65644,50751.00,763.67,45056.00,0.00,96633.00,96570.67,96532.00,96640.50,96431.00,96648.00,0.29537467,0.25375500,0.01909167,0.27352500,0.27284667,0.27223000,0.27380250,0.27093500,0.27408000,-58029.00,-58124.33,-150.26,-151.22,-0.15006500,-0.15011167,-121.01,-122.36
claude-code,feature-add-small,rtk,3,0,0,43055,22130.00,794.00,18492.33,0.00,41361.00,41416.33,41326.00,41479.00,41291.00,41597.00,0.13974617,0.11065000,0.01985000,0.12999000,0.13050000,0.12947000,0.13127500,0.12895000,0.13256000,-2978.00,-2970.00,-7.71,-7.74,-0.00854500,-0.00776500,-6.89,-6.34
claude-code,feature-add-small,caveman,3,0,0,44996,35190.67,955.67,30164.67,0.00,45512.00,66311.00,45257.00,76965.50,45002.00,108419.00,0.21492733,0.17595333,0.02389167,0.14231500,0.19984500,0.13941500,0.23151000,0.13651500,0.32070500,-6628.00,-27864.67,-17.05,-73.37,-0.01839000,-0.07711000,-14.84,-63.86
claude-code,refactor-no-behavior-change,baseline,3,0,0,44160,26186.67,915.67,23162.00,0.00,39285.00,50264.33,38984.00,56055.00,38683.00,72825.00,0.16540600,0.13093333,0.02289167,0.12567500,0.15382500,0.12369000,0.16988500,0.12170500,0.21409500,0.00,0.00,0.00,0.00,0.00000000,0.00000000,0.00,0.00
claude-code,refactor-no-behavior-change,tokenwarden,3,0,0,43480,22938.33,812.67,19341.33,0.00,43156.00,43092.33,42994.00,43222.50,42832.00,43289.00,0.14467900,0.11469167,0.02031667,0.13491000,0.13500833,0.13460250,0.13536500,0.13429500,0.13582000,-4004.00,7172.00,-10.19,6.48,-0.01014500,0.01881667,-8.07,6.19
